index,HMBCX,MNMCX,PATCX,PB01,PB02,PB03,PB04,PB05,PB06,PB07,PB08,PB09,PB11,PB12,PB14,PB15,PB16,PSGCX,PB19,PB10,PB13,PB18
337_dis,271.7782250049532,337.5617687739432,268.955148795871,208.6583596395562,236.30374834761844,230.9496140913004,272.50233016135223,300.5429982149486,246.84136335046836,235.58583398336629,233.69841365375737,186.5707509751611,289.9974447282983,422.25671366853845,nan,274.8134630034332,nan,332.12691278467724,324.49081083711155,366.9905050206267,nan,478.81957412593005
359,0.8343358573907547,0.8617272762963495,0.9082355768005946,0.84497812199817,0.6961678358081896,0.7095464969753763,0.7062706246213566,0.7038087919922573,0.7241900692884473,0.877347559749385,0.8702556298581345,0.8474610613861382,0.8925710108211047,0.8800516592826163,nan,0.6194155304523814,0.9102512303918944,0.8491856009510752,0.778790005386188,nan,nan,0.9291976897272437
359_dis,121.7396115229866,194.46347893782578,115.5386506248881,185.0941222796793,170.41899508716406,242.0327865791148,251.56984149071127,303.96106039045895,313.5571961973102,205.27734040929445,196.69824326908048,254.52531414644653,154.26937473312137,195.63113828124085,nan,367.4798614698864,264.4819508557659,120.94815051284618,444.91930327286946,nan,nan,335.2984373599372
376,0.8561466954973237,0.8649253684944083,0.9169492135025613,0.878400877439226,0.8449062678448293,0.7933355334083203,0.7525098077368282,0.6601506076909859,0.7382372408969061,0.8421968561400771,0.9030676447063283,0.8932937470984709,0.8581186309683178,0.8272532794498784,nan,0.6809863680175186,0.9105102237725258,0.8477062374126056,nan,nan,nan,nan
376_dis,100.91742546151782,185.0032834010967,93.12927653053845,163.5685397612716,150.0355156983971,224.02130744737923,236.20374690700015,290.04337556990265,296.7499418419625,186.59870847869772,177.82751383121567,234.5319279429908,138.81435417609262,195.7910795996752,nan,351.4228052386433,259.81399409681956,110.05772329564763,nan,nan,nan,nan
503,0.888962164766132,0.9039174886918485,0.9360801152609773,0.9091411979646264,0.9017131850907409,0.87183708042569,0.7645290375284,0.7782836567799754,0.5280860247932297,0.9574495455395695,0.9541490815986423,0.9186259455690403,0.9334336695666461,0.9024660070346157,nan,0.6989748069685673,nan,0.9413200366411982,nan,nan,nan,nan
503_dis,63.992129849661964,149.64002799534276,90.55874723834945,103.29840478437613,124.94895055733974,198.25984372005573,231.79201555409082,287.67725614694115,269.11906747435927,165.24097080884462,92.61308319478782,180.55154844723714,90.9052170428774,210.1842679351698,nan,324.2049755158646,nan,110.29289940118765,nan,nan,nan,nan
512,0.6062274560732486,0.7027022472042429,nan,0.7723066196352738,0.7280826621346296,0.6925320397725901,nan,0.5458198635766206,0.5962573743536165,0.7839515410201886,nan,nan,0.6048044593480989,nan,nan,nan,nan,0.7833186170923355,nan,nan,nan,nan
512_dis,74.59583157236347,204.5074807104961,nan,54.70338405798492,44.80386648056108,125.91443545601835,nan,213.4849302986808,200.81359629410923,88.71913163792964,nan,nan,135.3140323428497,nan,nan,nan,nan,149.44932417561802,nan,nan,nan,nan
643,0.977155777239988,0.9691501827541698,0.9111308643209151,0.8874807581361033,0.8117000090863038,nan,nan,0.6530907437529323,nan,0.8100616144953816,0.9595052369767982,0.8764283674093973,0.967070696271047,0.9799043025203048,nan,0.420677742178437,0.9820246559885938,0.9280591075269217,nan,nan,nan,nan
