index,HMBCX,MNMCX,PATCX,PB01,PB02,PB03,PB04,PB05,PB06,PB07,PB08,PB09,PB11,PB12,PB14,PB15,PB16,PSGCX,PB19,PB10,PB13,PB18
247_dis,88.31903456759007,118.38833549641043,125.76163251713578,176.2514377348205,184.52331299921875,264.9194363890581,nan,nan,nan,227.34279671004649,144.92863534876523,259.2968026549107,89.28600530693271,133.1246647939951,nan,nan,nan,52.351699434650605,nan,nan,189.79299482883187,nan
270,0.90823193410259,0.9520661854042378,0.9498972944824315,0.9204137527380116,0.8986478959884417,0.8999074560345545,0.8545580479093954,0.8556932376075649,0.7624538575603129,0.9577075218823959,0.9563395490311849,0.9304584977362212,0.945079433152213,0.9392410121788244,nan,0.7110972140097064,0.9776575199776292,0.921612915788745,0.939997831292557,nan,nan,nan
270_dis,118.28313917400818,189.3222395994281,114.38837535092442,184.60458254308224,170.88472796753223,243.72606303233852,253.88122461560724,306.6964317882077,315.8002295544563,206.59516074490622,193.8825182936487,255.48053685139877,149.78159607119824,189.6085927560989,nan,370.01476696498514,259.2415358445952,114.88757265305571,447.7165379882387,nan,nan,nan
317,nan,0.6378661805474459,0.7713826892914386,0.9526839715019931,0.939711583076848,0.8882284162999121,0.6007271713828048,nan,nan,0.9592708417871288,0.8180986257762128,0.9214480521247512,0.6147822137645128,nan,nan,nan,nan,nan,nan,nan,nan,nan
317_dis,nan,233.11479437207632,67.372006365751,69.99403705980315,53.982329975506815,112.19537221617452,141.24435884102715,nan,nan,80.83781572178663,148.1029054704285,112.50340385994004,165.69669386725138,nan,nan,nan,nan,nan,nan,nan,nan,nan
337,0.8109410799943884,0.7283214143657195,0.8441108468060212,0.818529001116246,0.759890801134804,0.860230360583763,0.8351741267389139,0.8404112042549495,0.8242399470254901,0.8756327853181729,0.8686670655906515,0.8695564261337856,0.8162019897344881,0.6870159042030602,nan,0.7981622081971278,nan,0.6994262095795429,0.8440510118089521,0.44241746656294945,nan,0.1346049950285267
337_dis,271.7782250049532,337.5617687739432,268.955148795871,208.6583596395562,236.30374834761844,230.9496140913004,272.50233016135223,300.5429982149486,246.84136335046836,235.58583398336629,233.69841365375737,186.5707509751611,289.9974447282983,422.25671366853845,nan,274.8134630034332,nan,332.12691278467724,324.49081083711155,366.9905050206267,nan,478.81957412593005
359,0.8989628760630242,0.9117391862845042,0.9368305707535266,0.8923269155777047,0.8044104978979902,0.8721770843499956,0.9125897080325496,0.8971252500671356,0.8970933516856514,0.9378110305165795,0.9287448631905844,0.9176892065080781,0.9087672822760228,0.9382150747826337,nan,0.8003120060498343,0.9634911286936798,0.8607460979457641,0.9538589296560113,nan,nan,0.9494055509200249
359_dis,121.7396115229866,194.46347893782578,115.5386506248881,185.0941222796793,170.41899508716406,242.0327865791148,251.56984149071127,303.96106039045895,313.5571961973102,205.27734040929445,196.69824326908048,254.52531414644653,154.26937473312137,195.63113828124085,nan,367.4798614698864,264.4819508557659,120.94815051284618,444.91930327286946,nan,nan,335.2984373599372
376,0.8498032531695949,0.877708924086746,0.9179233830153029,0.8790116286998471,0.868114697125924,0.826993977991052,0.8341225834599787,0.826067207299331,0.7657460699486996,0.9114131496726638,0.9055428193729437,0.9297329384596679,0.8671269235433975,0.8630979117557833,nan,0.7368233062159577,0.9223971740791336,0.8751939170808498,nan,nan,nan,nan
376_dis,100.91742546151782,185.0032834010967,93.12927653053845,163.5685397612716,150.0355156983971,224.02130744737923,236.20374690700015,290.04337556990265,296.7499418419625,186.59870847869772,177.82751383121567,234.5319279429908,138.81435417609262,195.7910795996752,nan,351.4228052386433,259.81399409681956,110.05772329564763,nan,nan,nan,nan
503,0.8718732821530744,0.8968314368625258,0.955297130476494,0.8846170442332901,0.9111021219603029,0.927024687364798,0.898236321886885,0.810740366734537,0.7957330270188091,0.9624051501549337,0.9510399753278366,0.9524332799848784,0.9223341119648087,0.9442216814603516,nan,0.7829423728941606,nan,0.9214621231597757,nan,nan,nan,nan
503_dis,63.992129849661964,149.64002799534276,90.55874723834945,103.29840478437613,124.94895055733974,198.25984372005573,231.79201555409082,287.67725614694115,269.11906747435927,165.24097080884462,92.61308319478782,180.55154844723714,90.9052170428774,210.1842679351698,nan,324.2049755158646,nan,110.29289940118765,nan,nan,nan,nan
